2024-02-02T19:28:49.272857,Brown,12 - 11,6,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Bobby|Conor|Dexter|Julian|Leo J|Max|Will,,,,,,
2024-02-02T19:28:49.272858,Brown,12 - 11,7,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Dexter|Fin|Jasper|Tej,,,,,,
2024-02-02T19:28:49.272859,Brown,12 - 11,8,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Clay|Leo J|Leo X|Mauricio|Nathan P|Will,,,,,,
2024-02-02T19:28:49.272860,Brown,12 - 11,9,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,0,2,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272861,Brown,12 - 11,10,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272862,Brown,12 - 11,11,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Bobby|Dexter|Jonah|Julian|Mauricio|Nathan K,,,,,,
2024-02-02T19:28:49.272863,Brown,12 - 11,12,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Dexter|Fin|Jasper|Nobi,,,,,,
2024-02-02T19:28:49.272864,Brown,12 - 11,13,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Conor|Cullen|Declan|Julian|Leo J|Leo X|Mauricio,,,,,,
2024-02-02T19:28:49.272865,Brown,12 - 11,14,FALSE,TRUE,0,0,0,0,0,0,0,0,1,0,0,1,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272866,Brown,12 - 11,15,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Ben|Bobby|Conor|Julian|Leo J|Leo X|Nathan P,,,,,,
2024-02-02T19:28:49.272867,Brown,12 - 11,16,FALSE,TRUE,1,0,0,0,0,0,0,0,0,1,0,1,Cullen|Daniel|Declan|Fin|Jasper|Jonah|Tej,,,,,,
2024-02-02T19:28:49.272868,Brown,12 - 11,17,TRUE,FALSE,0,0,0,0,0,0,0,0,1,1,1,1,Ben|Clay|Dexter|Jonah|Max|Nathan K|Quinn,,,,,,
2024-02-02T19:28:49.272869,Brown,12 - 11,18,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Nathan P|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272870,Brown,12 - 11,19,TRUE,FALSE,0,0,0,0,0,0,0,0,1,1,1,1,Conor|Julian|Leo J|Leo X|Mauricio|Nathan P|Will,,,,,,
2024-02-02T19:28:49.272871,Brown,12 - 11,20,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Dexter|Fin|Jasper|Nobi,,,,,,
2024-02-02T19:28:49.272872,Brown,12 - 11,21,TRUE,FALSE,0,0,0,0,0,0,0,0,1,1,1,1,Ben|Bobby|Conor|Julian|Leo J|Leo X|Mauricio,,,,,,
2024-02-02T19:28:49.272873,Brown,12 - 11,22,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Cullen|Daniel|Declan|Fin|Jasper|Nobi|Tej,,,,,,
2024-02-02T19:28:49.272874,Brown,12 - 11,23,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,Cullen|Daniel|Declan|Julian|Leo J|Leo X|Mauricio,,,,,,
